Date,Meal Time,Expected Diners,Actual Diners,Food Prepared (kg),Food Consumed (kg),Portion Size (g),Food Waste (kg),Special Event,Satisfaction Score,Waste Feedback,Surplus Food (kg),Food Distributed (kg),Weather,Suggestions
2024-10-18,Lunch,199,212,35.98,29.68,280,6.3,Sports Day,1,High Waste,1.82,0.88,Windy,Reduce portion size by 10-20% for the next meal.
2024-03-27,Lunch,154,166,33.49,30.2,227,3.29,No Event,4,Moderate Waste,3.63,0.42,Windy,Portion sizes seem optimal; continue as is.
2024-04-05,Breakfast,117,106,49.08,31.52,227,17.56,No Event,2,Minimal Waste,2.4,2.17,Cloudy,Consider changing the menu or improving food quality.
2024-10-18,Dinner,244,245,34.86,26.41,334,8.45,Staff Meeting,5,High Waste,4.02,3.18,Rainy,Reduce portion size by 10-20% for the next meal.
2024-10-04,Lunch,182,191,38.54,37.55,242,0.99,Staff Meeting,1,Moderate Waste,4.37,1.38,Cloudy,Consider changing the menu or improving food quality.
2024-01-22,Breakfast,115,135,42.36,27.13,209,15.23,Staff Meeting,4,High Waste,1.86,1.32,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-04-02,Lunch,199,212,45.31,25.91,291,19.4,Staff Meeting,1,High Waste,4.04,0.49,Windy,Reduce portion size by 10-20% for the next meal.
2024-03-28,Lunch,154,142,46.01,32.26,256,13.75,Sports Day,4,Moderate Waste,4.11,1.22,Cloudy,Increase portions slightly for high energy consumption.
2024-06-06,Dinner,213,215,49.68,36.11,299,13.57,Sports Day,5,High Waste,4.01,3.4,Sunny,Reduce portion size by 10-20% for the next meal.
2024-08-09,Dinner,225,219,38.41,28.7,246,9.71,No Event,3,Moderate Waste,3.73,1.58,Cloudy,Portion sizes seem optimal; continue as is.
2024-06-15,Lunch,188,175,46.22,44.78,270,1.44,No Event,5,High Waste,0.49,0.25,Sunny,Reduce portion size by 10-20% for the next meal.
2024-09-07,Breakfast,100,82,42.69,42.09,199,0.6,No Event,2,High Waste,2.63,0.81,Windy,Reduce portion size by 10-20% for the next meal.
2024-08-19,Lunch,190,187,41.33,37.02,221,4.31,Staff Meeting,4,High Waste,4.7,4.5,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-03-17,Lunch,163,158,30.05,28.66,287,1.39,No Event,3,High Waste,0.82,0.2,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-01-10,Dinner,192,179,41.64,26.74,271,14.9,Holiday,4,High Waste,0.68,0.34,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-09-16,Breakfast,122,124,38.88,28.72,198,10.16,Sports Day,3,Moderate Waste,0.39,0.17,Cloudy,Increase portions slightly for high energy consumption.
2024-02-14,Lunch,164,165,48.53,40.59,259,7.94,No Event,4,High Waste,4.85,3.62,Rainy,Reduce portion size by 10-20% for the next meal.
2024-09-26,Lunch,174,174,45.17,36.19,255,8.98,No Event,1,High Waste,4.44,2.99,Windy,Reduce portion size by 10-20% for the next meal.
2024-01-24,Lunch,195,213,46.45,26.35,280,20.1,Holiday,2,Moderate Waste,4.25,0.33,Sunny,Consider changing the menu or improving food quality.
2024-07-30,Breakfast,107,97,34.19,26.4,217,7.79,Holiday,1,Minimal Waste,1.12,0.3,Windy,Consider changing the menu or improving food quality.
2024-04-05,Lunch,164,177,49.83,33.89,290,15.94,Sports Day,3,Minimal Waste,2.87,1.78,Windy,Increase portions slightly for high energy consumption.
2024-05-20,Breakfast,115,135,42.36,29.36,200,13.0,No Event,4,Minimal Waste,1.12,0.2,Sunny,Portion sizes seem optimal; continue as is.
2024-01-17,Lunch,190,203,43.32,25.77,244,17.55,No Event,5,Minimal Waste,4.56,0.99,Cloudy,Portion sizes seem optimal; continue as is.
2024-01-08,Dinner,232,232,47.6,39.81,212,7.79,Sports Day,3,Minimal Waste,0.64,0.18,Sunny,Increase portions slightly for high energy consumption.
2024-05-14,Dinner,242,252,31.77,31.77,228,0.0,Sports Day,5,Minimal Waste,3.31,0.11,Cloudy,Increase portions slightly for high energy consumption.
2024-04-29,Lunch,162,147,49.13,44.68,274,4.45,Sports Day,2,High Waste,3.73,1.88,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-09-24,Dinner,184,190,38.91,31.78,226,7.13,Staff Meeting,5,High Waste,0.7,0.22,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-07-12,Lunch,154,166,46.13,35.63,226,10.5,Staff Meeting,3,Moderate Waste,3.76,3.53,Cloudy,Portion sizes seem optimal; continue as is.
2024-04-11,Breakfast,145,156,39.08,29.31,231,9.77,Staff Meeting,4,Minimal Waste,0.57,0.24,Rainy,Consider offering warm food options.
2024-02-02,Dinner,186,172,48.14,29.44,233,18.7,Holiday,5,Moderate Waste,4.43,3.65,Sunny,Portion sizes seem optimal; continue as is.
2024-03-17,Dinner,216,216,46.37,29.52,262,16.85,Holiday,1,Minimal Waste,1.13,0.64,Windy,Consider changing the menu or improving food quality.
2024-02-08,Breakfast,101,87,40.83,29.84,203,10.99,Staff Meeting,5,Minimal Waste,1.87,1.15,Rainy,Consider offering warm food options.
2024-08-04,Dinner,250,236,33.72,28.91,261,4.81,Sports Day,2,High Waste,0.12,0.1,Sunny,Reduce portion size by 10-20% for the next meal.
2024-06-25,Lunch,160,152,39.99,38.86,270,1.13,No Event,2,Minimal Waste,2.12,1.85,Sunny,Consider changing the menu or improving food quality.
2024-07-29,Breakfast,130,141,39.69,28.06,185,11.63,Sports Day,4,Moderate Waste,2.26,1.37,Sunny,Increase portions slightly for high energy consumption.
2024-06-19,Breakfast,108,110,34.67,33.92,201,0.75,Holiday,3,Minimal Waste,2.92,0.63,Sunny,Portion sizes seem optimal; continue as is.
2024-10-24,Breakfast,143,154,45.78,34.88,201,10.9,Holiday,1,High Waste,1.82,1.78,Sunny,Reduce portion size by 10-20% for the next meal.
2024-04-17,Lunch,180,177,39.54,35.68,288,3.86,Staff Meeting,5,Moderate Waste,1.83,1.38,Sunny,Portion sizes seem optimal; continue as is.
2024-01-01,Dinner,234,230,34.48,26.3,323,8.18,No Event,1,Minimal Waste,2.82,1.77,Sunny,Consider changing the menu or improving food quality.
2024-07-26,Breakfast,144,133,45.82,26.2,236,19.62,Holiday,5,Moderate Waste,0.48,0.14,Cloudy,Portion sizes seem optimal; continue as is.
2024-07-26,Breakfast,130,142,39.43,37.54,195,1.89,Sports Day,3,Moderate Waste,2.44,0.69,Cloudy,Increase portions slightly for high energy consumption.
2024-01-12,Lunch,184,171,49.93,34.22,269,15.71,Staff Meeting,5,High Waste,3.34,0.13,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-05-07,Dinner,186,192,47.04,32.46,258,14.58,Sports Day,4,Minimal Waste,0.47,0.44,Cloudy,Increase portions slightly for high energy consumption.
2024-07-24,Breakfast,101,111,39.54,36.79,186,2.75,Staff Meeting,3,High Waste,1.9,1.5,Rainy,Reduce portion size by 10-20% for the next meal.
2024-02-28,Lunch,193,174,44.46,28.17,278,16.29,Staff Meeting,2,Moderate Waste,2.97,1.11,Rainy,Consider changing the menu or improving food quality.
2024-06-07,Lunch,160,168,49.15,27.81,241,21.34,Sports Day,2,High Waste,3.68,3.58,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-09-18,Breakfast,118,124,33.03,32.5,219,0.53,Staff Meeting,2,Moderate Waste,3.21,2.3,Windy,Consider changing the menu or improving food quality.
2024-08-28,Breakfast,135,117,39.12,25.54,239,13.58,No Event,4,High Waste,3.89,0.34,Windy,Reduce portion size by 10-20% for the next meal.
2024-05-03,Breakfast,136,128,48.78,47.64,212,1.14,No Event,3,High Waste,3.86,0.17,Rainy,Reduce portion size by 10-20% for the next meal.
2024-08-29,Lunch,151,145,48.76,28.57,293,20.19,Sports Day,2,Minimal Waste,1.37,1.35,Cloudy,Consider changing the menu or improving food quality.
2024-09-17,Dinner,213,206,42.92,34.72,274,8.2,No Event,3,Moderate Waste,4.46,3.73,Windy,Portion sizes seem optimal; continue as is.
2024-07-21,Dinner,218,220,35.03,30.24,273,4.79,Staff Meeting,3,Moderate Waste,4.83,1.99,Cloudy,Portion sizes seem optimal; continue as is.
2024-06-08,Breakfast,147,166,36.37,32.5,209,3.87,Sports Day,2,Moderate Waste,4.63,2.2,Rainy,Consider changing the menu or improving food quality.
2024-02-06,Dinner,186,168,39.66,36.21,244,3.45,Sports Day,3,High Waste,4.59,3.29,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-02-05,Lunch,156,140,46.59,26.7,241,19.89,Staff Meeting,2,Minimal Waste,4.3,3.87,Cloudy,Consider changing the menu or improving food quality.
2024-02-02,Breakfast,137,140,31.62,28.5,234,3.12,Staff Meeting,1,High Waste,0.55,0.32,Sunny,Reduce portion size by 10-20% for the next meal.
2024-01-12,Breakfast,115,130,36.41,35.98,250,0.43,Sports Day,1,High Waste,1.63,1.4,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-09-23,Lunch,172,174,41.79,26.15,236,15.64,No Event,1,Minimal Waste,1.74,0.44,Rainy,Consider changing the menu or improving food quality.
2024-02-19,Breakfast,139,136,41.87,28.97,184,12.9,No Event,1,Minimal Waste,0.37,0.31,Cloudy,Consider changing the menu or improving food quality.
2024-06-16,Breakfast,122,136,44.56,35.6,206,8.96,Staff Meeting,5,Moderate Waste,1.14,1.06,Rainy,Consider offering warm food options.
2024-01-13,Lunch,185,201,41.26,37.07,300,4.19,Staff Meeting,4,Minimal Waste,4.69,1.67,Rainy,Consider offering warm food options.
2024-04-24,Lunch,184,177,47.46,32.75,248,14.71,No Event,1,Moderate Waste,3.74,2.42,Windy,Consider changing the menu or improving food quality.
2024-01-04,Breakfast,124,120,46.7,35.19,244,11.51,Sports Day,5,Moderate Waste,0.22,0.11,Sunny,Increase portions slightly for high energy consumption.
2024-06-05,Lunch,183,172,36.13,33.43,236,2.7,No Event,1,High Waste,4.47,2.43,Sunny,Reduce portion size by 10-20% for the next meal.
2024-03-16,Breakfast,119,121,36.5,35.16,244,1.34,No Event,5,Moderate Waste,1.93,0.92,Cloudy,Portion sizes seem optimal; continue as is.
2024-07-20,Lunch,187,195,41.8,25.76,252,16.04,No Event,2,Moderate Waste,4.71,0.96,Windy,Consider changing the menu or improving food quality.
2024-02-05,Dinner,241,229,36.98,34.74,249,2.24,Staff Meeting,1,Minimal Waste,1.95,0.32,Windy,Consider changing the menu or improving food quality.
2024-08-15,Dinner,225,228,43.2,38.04,294,5.16,Staff Meeting,3,Moderate Waste,3.42,2.42,Cloudy,Portion sizes seem optimal; continue as is.
2024-07-19,Breakfast,105,102,49.99,30.11,200,19.88,Staff Meeting,1,Minimal Waste,3.78,3.33,Sunny,Consider changing the menu or improving food quality.
2024-08-05,Breakfast,116,119,47.9,41.72,212,6.18,Sports Day,4,Moderate Waste,1.82,0.72,Sunny,Increase portions slightly for high energy consumption.
2024-01-05,Dinner,235,241,39.19,33.1,223,6.09,Sports Day,5,High Waste,2.54,2.0,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-04-26,Breakfast,141,153,42.66,38.42,187,4.24,Holiday,3,High Waste,1.74,1.23,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-10,Dinner,234,242,31.93,28.37,227,3.56,Sports Day,5,High Waste,4.91,0.61,Sunny,Reduce portion size by 10-20% for the next meal.
2024-03-02,Dinner,233,239,45.28,29.61,324,15.67,Staff Meeting,5,High Waste,1.02,0.63,Sunny,Reduce portion size by 10-20% for the next meal.
2024-08-19,Lunch,155,135,41.38,29.85,278,11.53,Holiday,2,Minimal Waste,4.93,1.31,Cloudy,Consider changing the menu or improving food quality.
2024-09-05,Dinner,242,239,35.79,28.47,340,7.32,Sports Day,4,High Waste,1.46,0.24,Windy,Reduce portion size by 10-20% for the next meal.
2024-08-02,Breakfast,110,90,39.28,35.09,195,4.19,Holiday,5,Moderate Waste,2.05,0.7,Windy,Portion sizes seem optimal; continue as is.
2024-06-19,Dinner,201,207,35.19,27.56,270,7.63,Holiday,3,Minimal Waste,2.0,1.48,Cloudy,Portion sizes seem optimal; continue as is.
2024-03-24,Breakfast,149,137,49.49,42.82,216,6.67,Holiday,4,Minimal Waste,1.18,1.02,Sunny,Portion sizes seem optimal; continue as is.
2024-04-07,Dinner,241,245,37.2,35.66,221,1.54,Staff Meeting,5,High Waste,2.06,0.69,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-26,Lunch,187,207,31.82,29.45,233,2.37,Staff Meeting,1,Minimal Waste,2.6,1.54,Cloudy,Consider changing the menu or improving food quality.
2024-07-07,Dinner,246,226,37.31,25.1,282,12.21,Staff Meeting,4,Minimal Waste,3.97,2.66,Rainy,Consider offering warm food options.
2024-04-27,Lunch,199,201,40.43,27.96,256,12.47,Sports Day,4,Moderate Waste,0.79,0.2,Sunny,Increase portions slightly for high energy consumption.
2024-08-07,Dinner,231,233,31.78,29.61,263,2.17,Holiday,5,Moderate Waste,2.46,1.18,Rainy,Consider offering warm food options.
2024-09-25,Lunch,171,151,43.45,26.37,260,17.08,Holiday,1,Minimal Waste,2.83,1.52,Rainy,Consider changing the menu or improving food quality.
2024-06-12,Breakfast,133,134,33.54,28.06,201,5.48,Staff Meeting,2,Minimal Waste,4.5,0.82,Rainy,Consider changing the menu or improving food quality.
2024-07-17,Lunch,170,169,42.83,32.17,246,10.66,No Event,2,Moderate Waste,1.55,1.32,Sunny,Consider changing the menu or improving food quality.
2024-01-06,Dinner,200,195,40.08,26.74,346,13.34,No Event,2,Minimal Waste,1.17,0.35,Sunny,Consider changing the menu or improving food quality.
2024-01-24,Lunch,197,199,30.18,27.86,272,2.32,No Event,4,Moderate Waste,0.37,0.17,Sunny,Portion sizes seem optimal; continue as is.
2024-10-28,Dinner,221,226,45.46,38.72,232,6.74,Holiday,4,Moderate Waste,1.06,0.81,Sunny,Portion sizes seem optimal; continue as is.
2024-01-27,Lunch,150,167,35.28,34.87,281,0.41,No Event,4,Minimal Waste,0.62,0.24,Windy,Portion sizes seem optimal; continue as is.
2024-03-03,Dinner,241,237,48.01,45.66,302,2.35,Sports Day,1,Minimal Waste,0.13,0.12,Windy,Consider changing the menu or improving food quality.
2024-06-26,Dinner,237,221,41.51,34.98,339,6.53,Sports Day,5,Minimal Waste,3.92,1.02,Rainy,Increase portions slightly for high energy consumption.
2024-01-12,Lunch,188,172,36.91,34.86,286,2.05,Sports Day,1,Minimal Waste,1.16,1.13,Windy,Consider changing the menu or improving food quality.
2024-06-05,Lunch,197,203,41.73,28.69,258,13.04,Holiday,3,High Waste,4.03,2.26,Windy,Reduce portion size by 10-20% for the next meal.
2024-10-12,Breakfast,137,125,38.8,33.24,229,5.56,Staff Meeting,4,Moderate Waste,3.72,2.47,Windy,Portion sizes seem optimal; continue as is.
2024-06-10,Lunch,173,174,37.9,32.85,254,5.05,Holiday,4,Minimal Waste,1.51,0.1,Rainy,Consider offering warm food options.
2024-04-14,Dinner,208,203,45.88,41.3,328,4.58,Staff Meeting,2,Moderate Waste,0.49,0.29,Cloudy,Consider changing the menu or improving food quality.
2024-08-06,Breakfast,131,113,46.48,45.76,198,0.72,Sports Day,5,Moderate Waste,3.28,0.44,Cloudy,Increase portions slightly for high energy consumption.
2024-08-25,Breakfast,139,131,32.46,29.01,217,3.45,Holiday,3,High Waste,4.65,4.35,Windy,Reduce portion size by 10-20% for the next meal.
2024-07-12,Breakfast,116,116,40.39,29.46,193,10.93,Holiday,2,High Waste,3.16,1.0,Windy,Reduce portion size by 10-20% for the next meal.
2024-06-28,Dinner,232,228,36.67,30.91,303,5.76,Holiday,5,Moderate Waste,4.01,1.03,Rainy,Consider offering warm food options.
2024-08-16,Dinner,231,221,47.24,43.87,226,3.37,Sports Day,2,Moderate Waste,0.56,0.52,Sunny,Consider changing the menu or improving food quality.
2024-07-20,Dinner,243,257,41.56,34.94,298,6.62,No Event,3,Moderate Waste,1.95,0.39,Sunny,Portion sizes seem optimal; continue as is.
2024-01-14,Breakfast,117,129,36.03,32.64,236,3.39,No Event,2,Minimal Waste,2.43,1.74,Cloudy,Consider changing the menu or improving food quality.
2024-01-08,Dinner,239,222,35.35,31.15,215,4.2,Staff Meeting,4,Minimal Waste,4.76,1.03,Rainy,Consider offering warm food options.
2024-09-09,Breakfast,112,106,46.43,32.32,243,14.11,Holiday,2,Minimal Waste,1.1,0.83,Cloudy,Consider changing the menu or improving food quality.
2024-11-03,Breakfast,147,138,31.03,29.42,241,1.61,No Event,2,High Waste,3.78,1.46,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-07-18,Dinner,180,182,35.0,28.75,230,6.25,Staff Meeting,3,Moderate Waste,1.85,0.54,Sunny,Portion sizes seem optimal; continue as is.
2024-08-02,Breakfast,115,126,32.76,25.37,247,7.39,Holiday,1,High Waste,2.85,0.87,Rainy,Reduce portion size by 10-20% for the next meal.
2024-07-22,Lunch,181,175,39.35,38.05,246,1.3,No Event,4,High Waste,4.32,3.44,Windy,Reduce portion size by 10-20% for the next meal.
2024-09-23,Lunch,200,184,49.93,39.56,222,10.37,Holiday,2,Moderate Waste,3.13,0.87,Sunny,Consider changing the menu or improving food quality.
2024-04-27,Lunch,180,184,38.64,33.59,292,5.05,Holiday,1,High Waste,0.99,0.44,Rainy,Reduce portion size by 10-20% for the next meal.
2024-08-02,Lunch,173,192,46.31,25.64,268,20.67,Staff Meeting,2,High Waste,0.9,0.6,Rainy,Reduce portion size by 10-20% for the next meal.
2024-10-22,Lunch,166,179,46.57,43.57,257,3.0,Sports Day,2,High Waste,3.43,0.7,Sunny,Reduce portion size by 10-20% for the next meal.
2024-10-24,Lunch,157,177,32.41,25.02,257,7.39,Sports Day,3,Minimal Waste,4.55,0.78,Cloudy,Increase portions slightly for high energy consumption.
2024-01-18,Breakfast,129,126,41.99,30.3,226,11.69,Staff Meeting,4,High Waste,0.33,0.2,Rainy,Reduce portion size by 10-20% for the next meal.
2024-06-30,Breakfast,138,118,43.53,30.74,247,12.79,No Event,2,Minimal Waste,1.46,0.52,Sunny,Consider changing the menu or improving food quality.
2024-01-03,Dinner,243,232,33.97,30.73,300,3.24,No Event,3,Minimal Waste,3.37,1.24,Windy,Portion sizes seem optimal; continue as is.
2024-09-27,Breakfast,140,121,30.84,30.77,180,0.07,Staff Meeting,1,High Waste,0.97,0.24,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-09-24,Breakfast,106,97,45.09,26.61,240,18.48,Holiday,5,High Waste,3.24,1.76,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-07-19,Breakfast,131,143,33.51,31.17,234,2.34,Staff Meeting,4,Minimal Waste,2.0,0.49,Rainy,Consider offering warm food options.
2024-09-13,Breakfast,124,123,44.71,33.23,249,11.48,Sports Day,3,Minimal Waste,3.2,2.77,Sunny,Increase portions slightly for high energy consumption.
2024-01-23,Breakfast,108,104,40.68,28.92,220,11.76,Staff Meeting,5,High Waste,4.64,4.46,Sunny,Reduce portion size by 10-20% for the next meal.
2024-06-21,Lunch,188,188,40.86,38.29,293,2.57,Staff Meeting,2,High Waste,4.84,1.39,Rainy,Reduce portion size by 10-20% for the next meal.
2024-05-05,Dinner,227,245,31.74,30.33,279,1.41,No Event,4,Moderate Waste,2.32,0.44,Windy,Portion sizes seem optimal; continue as is.
2024-04-07,Lunch,162,163,42.96,30.73,300,12.23,Staff Meeting,5,Moderate Waste,1.12,0.46,Cloudy,Portion sizes seem optimal; continue as is.
2024-06-22,Breakfast,113,102,49.7,29.43,191,20.27,Staff Meeting,1,Minimal Waste,0.38,0.34,Windy,Consider changing the menu or improving food quality.
2024-09-08,Breakfast,128,119,41.28,32.23,213,9.05,Sports Day,5,Minimal Waste,0.18,0.12,Rainy,Increase portions slightly for high energy consumption.
2024-09-16,Dinner,200,215,43.39,28.59,305,14.8,No Event,4,High Waste,1.35,0.6,Rainy,Reduce portion size by 10-20% for the next meal.
2024-01-21,Breakfast,128,128,31.77,28.03,203,3.74,Holiday,1,Moderate Waste,0.99,0.43,Rainy,Consider changing the menu or improving food quality.
2024-05-30,Breakfast,105,113,40.91,39.49,230,1.42,No Event,5,High Waste,4.92,0.93,Rainy,Reduce portion size by 10-20% for the next meal.
2024-10-31,Breakfast,140,148,42.97,42.71,207,0.26,Sports Day,2,Moderate Waste,0.9,0.35,Sunny,Consider changing the menu or improving food quality.
2024-10-05,Dinner,245,227,45.14,44.68,246,0.46,Staff Meeting,1,Minimal Waste,0.37,0.19,Cloudy,Consider changing the menu or improving food quality.
2024-05-05,Breakfast,100,84,31.5,30.65,219,0.85,Holiday,1,Moderate Waste,2.01,1.55,Cloudy,Consider changing the menu or improving food quality.
2024-10-19,Lunch,157,163,42.57,26.75,273,15.82,Staff Meeting,5,Moderate Waste,3.2,2.95,Windy,Portion sizes seem optimal; continue as is.
2024-01-21,Lunch,184,189,40.64,39.21,280,1.43,Holiday,4,Minimal Waste,2.04,0.28,Windy,Portion sizes seem optimal; continue as is.
2024-08-27,Breakfast,104,86,37.27,27.19,199,10.08,Sports Day,2,High Waste,4.68,2.54,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-09-24,Dinner,192,178,33.1,25.61,308,7.49,Staff Meeting,3,Moderate Waste,3.62,0.4,Windy,Portion sizes seem optimal; continue as is.
2024-05-19,Breakfast,104,92,34.47,32.8,233,1.67,Staff Meeting,5,High Waste,1.74,0.62,Windy,Reduce portion size by 10-20% for the next meal.
2024-04-30,Breakfast,142,123,30.03,25.25,217,4.78,Sports Day,2,Minimal Waste,3.23,1.85,Sunny,Consider changing the menu or improving food quality.
2024-07-16,Dinner,232,248,36.03,26.2,257,9.83,Holiday,3,High Waste,4.83,1.64,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-04-23,Breakfast,107,120,44.66,41.99,240,2.67,Staff Meeting,5,High Waste,2.9,0.73,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-01-31,Lunch,185,191,34.84,25.71,278,9.13,No Event,4,High Waste,2.0,0.64,Windy,Reduce portion size by 10-20% for the next meal.
2024-02-06,Breakfast,137,122,41.83,39.24,216,2.59,Holiday,5,Moderate Waste,1.72,0.53,Windy,Portion sizes seem optimal; continue as is.
2024-10-28,Dinner,217,217,42.66,41.64,239,1.02,Staff Meeting,4,High Waste,2.15,1.35,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-06-29,Breakfast,115,110,33.61,27.46,180,6.15,Staff Meeting,4,Minimal Waste,3.61,2.54,Sunny,Portion sizes seem optimal; continue as is.
2024-07-26,Dinner,194,209,38.4,31.61,285,6.79,Sports Day,2,Minimal Waste,3.82,2.81,Cloudy,Consider changing the menu or improving food quality.
2024-02-03,Lunch,170,160,37.91,37.62,269,0.29,Holiday,1,High Waste,2.27,1.67,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-02-26,Lunch,196,201,47.52,38.65,296,8.87,No Event,4,Moderate Waste,0.25,0.16,Sunny,Portion sizes seem optimal; continue as is.
2024-04-12,Dinner,241,234,33.98,28.96,318,5.02,Holiday,5,High Waste,0.89,0.26,Rainy,Reduce portion size by 10-20% for the next meal.
2024-07-03,Breakfast,148,155,44.13,38.72,214,5.41,No Event,3,Minimal Waste,4.89,1.7,Cloudy,Portion sizes seem optimal; continue as is.
2024-03-21,Dinner,232,239,35.28,31.48,215,3.8,Holiday,5,Minimal Waste,1.99,1.67,Sunny,Portion sizes seem optimal; continue as is.
2024-05-14,Lunch,167,177,32.34,25.97,255,6.37,Staff Meeting,3,Moderate Waste,3.07,1.04,Cloudy,Portion sizes seem optimal; continue as is.
2024-03-02,Lunch,164,166,47.56,35.07,271,12.49,No Event,1,Minimal Waste,2.79,1.22,Rainy,Consider changing the menu or improving food quality.
2024-07-02,Dinner,205,195,35.58,28.08,226,7.5,Sports Day,3,Moderate Waste,1.44,0.35,Windy,Increase portions slightly for high energy consumption.
2024-07-14,Dinner,214,220,33.01,32.3,278,0.71,Staff Meeting,4,High Waste,3.97,2.51,Sunny,Reduce portion size by 10-20% for the next meal.
2024-02-26,Lunch,162,178,31.2,26.66,255,4.54,No Event,5,High Waste,3.55,1.9,Windy,Reduce portion size by 10-20% for the next meal.
2024-02-27,Lunch,152,139,35.58,32.61,286,2.97,Sports Day,1,High Waste,0.83,0.44,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-02-28,Lunch,176,176,46.76,25.75,290,21.01,No Event,1,High Waste,1.09,0.93,Sunny,Reduce portion size by 10-20% for the next meal.
2024-05-02,Dinner,219,207,30.99,26.06,233,4.93,Holiday,1,High Waste,2.79,0.13,Sunny,Reduce portion size by 10-20% for the next meal.
2024-02-17,Lunch,194,175,33.07,31.52,223,1.55,No Event,4,Minimal Waste,1.87,1.83,Windy,Portion sizes seem optimal; continue as is.
2024-07-23,Dinner,203,187,49.56,49.35,334,0.21,No Event,2,Minimal Waste,4.79,4.13,Cloudy,Consider changing the menu or improving food quality.
2024-05-05,Lunch,171,165,48.28,37.09,256,11.19,No Event,1,Minimal Waste,2.07,1.85,Sunny,Consider changing the menu or improving food quality.
2024-05-09,Dinner,246,251,33.18,32.48,215,0.7,Holiday,1,High Waste,4.26,0.9,Windy,Reduce portion size by 10-20% for the next meal.
2024-04-05,Breakfast,103,108,39.01,33.7,192,5.31,Holiday,4,High Waste,0.87,0.41,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-03-11,Dinner,190,174,49.8,32.86,226,16.94,No Event,1,Minimal Waste,1.74,0.46,Windy,Consider changing the menu or improving food quality.
2024-06-17,Dinner,209,221,41.46,33.47,260,7.99,Holiday,3,Minimal Waste,0.47,0.17,Sunny,Portion sizes seem optimal; continue as is.
2024-09-16,Dinner,237,239,32.15,28.59,216,3.56,Staff Meeting,5,High Waste,4.53,0.26,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-07,Breakfast,104,104,48.32,43.79,209,4.53,Sports Day,1,High Waste,2.68,0.24,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-07-31,Breakfast,148,167,44.86,33.06,188,11.8,Holiday,1,Minimal Waste,2.04,1.59,Windy,Consider changing the menu or improving food quality.
2024-08-18,Lunch,192,174,30.84,27.84,268,3.0,Holiday,3,Minimal Waste,1.67,0.91,Sunny,Portion sizes seem optimal; continue as is.
2024-04-02,Dinner,216,224,41.94,26.7,345,15.24,Sports Day,4,Moderate Waste,4.75,3.05,Rainy,Increase portions slightly for high energy consumption.
2024-01-12,Lunch,176,162,32.16,27.51,266,4.65,Sports Day,2,High Waste,3.25,1.73,Rainy,Reduce portion size by 10-20% for the next meal.
2024-06-17,Lunch,182,166,48.77,44.11,226,4.66,Staff Meeting,1,Moderate Waste,3.57,3.29,Rainy,Consider changing the menu or improving food quality.
2024-10-23,Breakfast,138,151,34.76,28.27,185,6.49,Holiday,2,Moderate Waste,1.06,0.83,Cloudy,Consider changing the menu or improving food quality.
2024-09-21,Lunch,188,202,43.07,26.96,273,16.11,Sports Day,2,Minimal Waste,1.31,0.53,Windy,Consider changing the menu or improving food quality.
2024-06-14,Lunch,186,202,37.67,33.15,221,4.52,No Event,3,High Waste,0.53,0.38,Windy,Reduce portion size by 10-20% for the next meal.
2024-05-03,Dinner,218,218,49.38,26.65,275,22.73,Staff Meeting,1,Minimal Waste,1.7,0.85,Cloudy,Consider changing the menu or improving food quality.
2024-06-22,Breakfast,113,93,31.4,26.53,193,4.87,Sports Day,1,Minimal Waste,3.52,0.15,Windy,Consider changing the menu or improving food quality.
2024-07-25,Lunch,155,155,35.56,26.78,287,8.78,No Event,1,Minimal Waste,4.9,2.04,Windy,Consider changing the menu or improving food quality.
2024-04-17,Breakfast,127,122,42.53,34.48,198,8.05,Sports Day,2,High Waste,1.49,0.65,Windy,Reduce portion size by 10-20% for the next meal.
2024-06-30,Breakfast,139,119,32.83,28.55,221,4.28,Sports Day,1,Moderate Waste,1.08,0.61,Windy,Consider changing the menu or improving food quality.
